||        dataset |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |         84.756 |            3.2 |           84.0 |        145.533 |          1.459 |          100.0 ||
||           wine |    3421827.432 |            5.4 |          128.0 |        212.767 |          2.483 |          100.0 ||
||  connectionist |        314.774 |           11.8 |          256.0 |        338.933 |          2.976 |          100.0 ||
||          seeds |        624.257 |            4.0 |          100.0 |        201.733 |          2.421 |          100.0 ||
||      vertebral |      559533.96 |          2.833 |         76.667 |          145.8 |          1.559 |          100.0 ||
||      computers |     320717.358 |           16.0 |          340.0 |        478.233 |         11.312 |          100.0 ||
||movement-libras |         382.04 |           54.6 |         1112.0 |       1189.033 |        130.456 |          100.0 ||
||           drug |6.512943369842537e+27 |            0.0 |           20.0 |         94.567 |          1.097 |          100.0 ||
||       toxicity |4925753246225918.0 |            2.8 |           76.0 |          128.2 |          1.085 |          100.0 ||
||        ECG5000 |      12734.777 |           31.8 |          656.0 |        881.467 |         46.515 |          100.0 ||
||          ecoli |          15.63 |         34.033 |        700.667 |        861.267 |         46.505 |          100.0 ||
||          glass |         90.867 |           30.3 |          626.0 |        666.533 |         19.326 |          100.0 ||
